note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[17],"[[134, 1084, 859, 1098]]",9,[18],"[[136, 313, 865, 326]]",[UUID('038f385a-1d6c-3f73-9a9b-610d576837ce')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dd4a00>],['8']
9,,[18],"[[136, 313, 865, 326]]",10,[18],"[[130, 518, 863, 535]]",[UUID('e49a50c5-fc40-348e-9fb9-d3f40601475d')],"[[0, 1, 2, 3, 4]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de37f0>],['9']
10,,[18],"[[130, 518, 863, 535]]",11,[18],"[[130, 1000, 211, 1013]]",[UUID('15014b4d-61d4-351c-ab62-a0160afdc7bb')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de3af0>],['10']
11,(a),[18],"[[128, 1043, 303, 1059]]",(b),[18],"[[128, 1251, 279, 1267]]",[],[],[],['11(a)']
11,(b),[18],"[[128, 1251, 279, 1267]]",(c),[19],"[[156, 1411, 736, 1427]]","[UUID('a3d5c4a6-a9b4-3b09-90dc-ea57f5c30436'), UUID('ff944637-e0b0-3db1-8dd4-1ec7bdcd4b06'), UUID('51c61e95-fc3c-3ee3-bdea-eef94613227c'), UUID('ce85c201-f65d-3a89-bef6-10c75255cc88')]","[[0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae3c02b670>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcf550>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcfd30>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcf580>]","['11(b)', '11(b)']"
7,(b),[17],"[[126, 356, 862, 393]]",(c),[17],"[[126, 815, 870, 868]]","[UUID('e3a05594-866a-30ae-b888-cd9b47e8f84f'), UUID('710210f9-41d4-3d86-9266-43c4f411964b')]","[[0, 1], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de1940>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de1c10>]",['7(b)']
7,(c),[17],"[[126, 815, 870, 868]]",(d),[18],"[[156, 1291, 856, 1334]]","[UUID('038f385a-1d6c-3f73-9a9b-610d576837ce'), UUID('e3a05594-866a-30ae-b888-cd9b47e8f84f'), UUID('15014b4d-61d4-351c-ab62-a0160afdc7bb'), UUID('e49a50c5-fc40-348e-9fb9-d3f40601475d'), UUID('a3d5c4a6-a9b4-3b09-90dc-ea57f5c30436')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], [0, 1, 2, 3, 4], [0, 1]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dd4a00>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de1940>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de3af0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de37f0>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae3c02b670>]",['7(c)']
12,,[19],"[[131, 309, 864, 326]]",13,[19],"[[131, 472, 861, 513]]",[UUID('51c61e95-fc3c-3ee3-bdea-eef94613227c')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcfd30>],['12']
13,,[19],"[[131, 472, 861, 513]]",14,[19],"[[130, 1076, 856, 1090]]","[UUID('51c61e95-fc3c-3ee3-bdea-eef94613227c'), UUID('ce85c201-f65d-3a89-bef6-10c75255cc88')]","[[7, 8, 9, 10, 11, 12, 13, 14], [0, 1, 2]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcfd30>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcf580>]","['13', '13']"
14,,[19],"[[130, 1076, 856, 1090]]",15,[20],"[[132, 313, 866, 327]]",[UUID('ff944637-e0b0-3db1-8dd4-1ec7bdcd4b06')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcf550>],"['14', '14']"
15,,[20],"[[132, 313, 866, 327]]",16,[21],"[[132, 607, 273, 625]]","[UUID('d53d4967-c596-365d-8a50-217eaa54866d'), UUID('ec79c015-ce95-34a0-bf8e-d5937ba3502a'), UUID('0d429d65-e9d0-3dcd-83b1-96e2910bd8a9'), UUID('ea17fabf-481c-3054-a854-affa717b9ae3')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]","[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcc790>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de1b80>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15dcc040>, <CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15de3a30>]","['15', '15']"
16,,[21],"[[132, 607, 273, 625]]",17,[21],"[[132, 1111, 243, 1124]]",[UUID('c83758f9-d318-34d1-b2ed-edc724faa5fc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae16c95310>],"['16', '16']"
2,,[15],"[[140, 331, 247, 345]]",3,[15],"[[139, 545, 293, 560]]",[UUID('8ad934fd-533f-3a9b-a935-c7ff7d461a60')],"[[1, 2, 3, 4, 5, 6]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae16cb9730>],['2']
3,,[15],"[[139, 545, 293, 560]]",4,[15],"[[139, 712, 311, 731]]",[UUID('e382c558-d8ea-313c-b51d-b41101144511')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae16cb9d00>],['3']
4,,[15],"[[139, 712, 311, 731]]",5,[15],"[[139, 880, 351, 900]]",[UUID('71b1f04c-7b10-3687-969d-9fbfe2cace12')],"[[0, 1, 2]]",[<CRM_SYD_main_app_2.database.db_models.TableLogs object at 0x7fae15d8ec40>],['4']
